gene,log2FC,padj
E01726,1.4283 ,0.0000 
E01727,-0.2332 ,0.0053 
E01728,-0.8478 ,0.0000 
E01729,-1.2347 ,0.0000 
E01730,-0.8071 ,0.0000 
E01733,0.1874 ,0.0000 
E01736,0.9961 ,0.0000 
E01738,-0.3789 ,0.0006 
E01739,0.5460 ,0.4752 
E01746,1.9558 ,0.4319 
E01747,-0.0610 ,0.7905 
E01750,-0.5914 ,0.0025 
E01752,0.1964 ,0.1653 
E01754,0.3878 ,0.0099 
E01757,-2.6764 ,0.0000 
E01758,1.1020 ,0.0000 
E01762,-0.2754 ,0.0000 
E01764,-0.1764 ,0.0068 
E01766,-2.2893 ,0.0000 
E01767,0.3722 ,0.0168 
E01769,-1.0425 ,0.0000 
E01770,-1.1357 ,0.0066 
E01773,0.1334 ,0.1569 
E01774,-0.3113 ,0.0004 
E01776,0.4781 ,0.9610 
E01777,-0.6632 ,0.8475 
E01781,-0.7731 ,0.0000 
E01782,-0.0506 ,0.5229 
E01783,0.1968 ,0.0000 
E01785,-0.5150 ,0.0000 
E01786,0.3693 ,0.0000 
E01789,-0.2599 ,0.0001 
E01792,1.1126 ,0.1031 
E01793,-0.9539 ,0.0000 
E01794,-0.0890 ,1.0000 
E01796,2.3348 ,0.0000 
E01797,0.1009 ,0.2218 
E01803,0.2197 ,0.0000 
E01804,-0.7155 ,0.0000 
E01807,-0.6222 ,0.0000 
E01808,0.6081 ,0.0000 
E01811,-0.2466 ,0.0001 
E01813,0.1014 ,0.0422 
E01815,0.5763 ,0.0000 
E01816,0.3294 ,0.0007 
E01817,-0.3564 ,0.0000 
E01820,0.1692 ,0.1513 
E01821,-0.9059 ,0.6410 
E01823,-0.1572 ,0.0123 
E01825,-1.9803 ,0.0000 
E01827,2.4620 ,0.0000 
E01828,-0.1750 ,0.0008 
E01829,0.8710 ,0.0000 
E01830,-0.4393 ,0.0169 
E01833,0.7742 ,0.0000 
E01834,0.4764 ,0.0000 
E01837,8.3152 ,0.0000 
E01839,0.1901 ,1.0000 
E01840,0.2322 ,1.0000 
E01842,0.0431 ,0.6640 
E01843,-0.6710 ,0.0000 
E01844,-0.4342 ,0.0006 
E01845,-0.3047 ,0.0000 
E01847,0.3770 ,0.0003 
E01849,-0.0038 ,0.9620 
E01851,6.0641 ,0.0000 
E01852,0.4184 ,0.0000 
E01854,-0.6040 ,0.1672 
E01858,2.2900 ,0.0000 
E01859,0.4272 ,0.0003 
E01860,1.6868 ,0.0297 
E01861,1.3647 ,0.0000 
E01862,-0.0203 ,0.6305 
E01864,0.9455 ,0.1647 
E01867,0.3074 ,0.0020 
E01868,-0.5296 ,0.0000 
E01869,-0.7117 ,0.5615 
E01870,0.0540 ,0.3039 
E01872,-2.2298 ,0.0072 
E01873,-3.5810 ,0.0000 
E01874,1.4166 ,0.0000 
E01875,-0.1693 ,0.0229 
E01876,0.1580 ,0.6336 
E01877,-0.5066 ,0.0000 
E01878,0.4979 ,0.0000 
E01880,0.5679 ,0.0000 
E01884,1.0284 ,0.0000 
E01885,-0.1472 ,0.0316 
E01886,-0.1547 ,0.0213 
E01888,-0.2526 ,0.0000 
E01889,-0.0486 ,0.4058 
E01890,-0.5051 ,0.0000 
E01891,-0.6223 ,0.0003 
E01892,-0.2047 ,1.0000 
E01893,0.1302 ,0.0008 
E01908,0.3015 ,0.2775 
E01911,-0.8061 ,0.0005 
E01912,-0.6632 ,0.8475 
E01915,3.5515 ,0.0000 
E01916,0.8366 ,0.6844 
E01923,-0.1850 ,1.0000 
E01924,-1.5783 ,0.3763 
E01926,-0.7946 ,0.0000 
E01928,-0.6414 ,0.0000 
E01930,0.4172 ,0.0000 
E01931,1.1503 ,0.0000 
E01942,1.7093 ,0.0951 
E01953,-0.7121 ,0.0001 
E01956,0.5572 ,0.0000 
E01958,0.3183 ,0.0000 
E01959,1.3952 ,0.0000 
E01960,-1.0628 ,0.3371 
E01962,2.3955 ,0.0002 
E01963,1.4537 ,0.0000 
E01964,-0.4150 ,0.0000 
E01971,-1.9766 ,0.0000 
E01976,0.4781 ,0.9610 
E01979,1.1888 ,0.0000 
E01982,0.0861 ,0.2988 
E01986,0.4462 ,0.9290 
E01989,-0.5974 ,0.0000 
E01991,-0.1539 ,0.0006 
E01992,0.2547 ,0.0000 
E01996,0.3741 ,0.0000 
E02001,0.7359 ,0.0000 
E02004,1.8273 ,0.0000 
E02005,-0.7216 ,0.0004 
E02012,-0.0449 ,0.7873 
E02013,6.1447 ,0.0000 
E02014,0.9913 ,0.0187 
E02021,-0.7772 ,0.0000 
E02024,1.5607 ,0.0000 
E02026,1.2065 ,0.0000 
E02028,-0.3047 ,0.0000 
E02031,1.0365 ,0.3216 
E02032,0.4667 ,0.0000 
E02035,0.2191 ,0.1115 
E02036,-0.7386 ,0.0000 
E02039,-0.6998 ,0.0000 
E02040,0.0596 ,0.5843 
E02041,-1.4232 ,0.0000 
E02042,1.0837 ,0.4097 
E02044,0.2311 ,0.1491 
E02045,1.6656 ,0.0000 
E02046,-1.5810 ,0.1412 
E02050,-0.6819 ,0.0000 
E02051,0.1480 ,0.0007 
E02052,-0.7432 ,0.0000 
E02053,1.7012 ,0.0000 
E02054,-0.1021 ,0.2653 
E02055,0.0925 ,0.4546 
E02057,-1.6402 ,0.0000 
E02061,-0.4313 ,0.0000 
E02069,0.1977 ,0.0340 
E02070,0.2988 ,0.9131 
E02072,-1.6100 ,0.0000 
E02073,2.5252 ,0.0000 
E02074,-1.2985 ,0.0000 
E02075,-0.3597 ,0.0000 
E02079,0.7985 ,0.0000 
E02080,-0.9892 ,0.0000 
E02085,-0.5188 ,0.8047 
E02089,1.6787 ,0.0000 
E02091,-0.3925 ,0.0000 
E02092,-0.1521 ,0.6541 
E02093,-1.1124 ,0.0000 
E02094,0.5569 ,0.0000 
E02097,-0.4114 ,0.0008 
E02100,0.3501 ,0.0004 
E02101,-0.1059 ,0.2544 
E02104,-0.2322 ,0.0009 
E02105,0.3991 ,0.0000 
E02106,-0.0989 ,0.1232 
E02110,0.3393 ,0.0860 
E02112,0.1593 ,0.0324 
E02115,-0.7417 ,0.0000 
E02116,0.4750 ,0.9610 
E02117,3.1106 ,0.0001 
E02120,0.4467 ,0.8639 
E02121,-0.6813 ,0.0000 
E02122,-0.1504 ,0.1092 
E02125,0.4149 ,0.0000 
E02126,0.0473 ,0.7647 
E02128,-0.4683 ,0.0000 
E02129,-0.8757 ,0.0000 
E02130,1.1236 ,0.5888 
E02134,0.6961 ,0.0008 
E02135,-0.7545 ,0.0000 
E02137,-0.0087 ,0.9844 
E02139,1.4964 ,0.0000 
E02141,4.5504 ,0.0000 
E02142,-0.8374 ,0.0000 
E02144,-0.0465 ,0.5013 
E02145,-3.4075 ,0.0000 
E02146,-0.9897 ,0.0000 
E02149,-1.1036 ,0.4765 
E02152,-0.0306 ,0.7871 
E02153,-0.0937 ,0.4169 
E02154,1.6792 ,0.1255 
E02158,0.1391 ,0.3976 
E02159,-2.2588 ,0.0000 
E02161,0.2686 ,0.4762 
E02163,0.1821 ,0.0006 
E02164,-2.2687 ,0.0005 
E02165,-0.5428 ,0.0002 
E02167,-0.3948 ,0.6844 
E02169,-0.6307 ,0.6224 
E02171,0.2355 ,0.3621 
E02174,1.3418 ,0.2756 
E02175,-0.4551 ,0.0000 
E02176,-0.4734 ,0.0000 
E02177,0.0648 ,0.5331 
E02178,0.4698 ,0.0000 
E02180,-0.7888 ,0.0000 
E02181,-0.4764 ,0.0046 
E02182,0.3568 ,0.0000 
E02185,0.7239 ,0.0000 
E02186,0.4089 ,0.0000 
E02188,-2.9832 ,0.0000 
E02191,0.3741 ,0.0296 
E02192,0.1048 ,0.4685 
E02194,-0.0525 ,0.6914 
E02196,-1.0348 ,0.0000 
E02199,-0.1516 ,0.0155 
E02203,0.2061 ,0.0248 
E02204,0.3313 ,0.4438 
E02205,-0.1871 ,0.0000 
E02207,-0.0677 ,0.5249 
E02208,0.1123 ,0.4336 
E02210,-0.2997 ,0.0014 
E02212,-0.6658 ,0.4326 
E02214,0.9549 ,0.0000 
E02215,1.2335 ,0.0000 
E02216,-1.2702 ,0.0000 
E02217,3.1459 ,0.0000 
E02218,-1.3583 ,0.0000 
E02224,1.1196 ,0.4063 
E02225,-0.0986 ,0.0105 
E02227,0.0821 ,0.4283 
E02229,1.2168 ,0.0000 
E02232,-1.1755 ,0.0000 
E02238,-1.9313 ,0.0000 
E02240,0.1637 ,0.0176 
E02241,0.3348 ,0.0249 
E02244,-0.6042 ,0.0000 
E02246,0.0768 ,0.0909 
E02247,-0.0140 ,0.9212 
E02248,-1.1387 ,0.0000 
E02251,-1.1608 ,0.0000 
E02253,0.3262 ,0.1152 
E02254,-0.7453 ,0.0000 
E02255,-1.6577 ,0.0000 
E02256,-0.3181 ,0.8475 
E02258,3.2190 ,0.0000 
E02262,0.1064 ,0.1198 
E02265,-0.1752 ,1.0000 
E02266,3.3963 ,0.0000 
E02267,0.1050 ,0.5668 
E02270,-0.0057 ,0.9283 
E02271,-0.0047 ,0.9831 
E02272,-0.1652 ,0.1314 
E02273,1.1248 ,0.0000 
E02275,1.3789 ,0.0000 
E02276,0.2299 ,0.5168 
E02278,-0.9202 ,0.0000 
E02280,0.5012 ,0.0000 
E02285,0.4486 ,0.9610 
E02289,-0.0634 ,1.0000 
E02291,-0.0471 ,0.7803 
E02292,0.4099 ,0.0000 
E02294,-0.1784 ,0.2457 
E02301,-0.2241 ,0.0000 
E02303,-1.3925 ,0.0043 
E02305,1.1024 ,0.0000 
E02309,0.7980 ,0.0000 
E02312,-0.9851 ,0.0000 
E02314,0.4486 ,0.9610 
E02318,2.0835 ,0.0000 
E02319,-1.5343 ,0.0000 
E02320,0.3082 ,0.0000 
E02322,0.1144 ,1.0000 
E02323,-0.0470 ,0.8354 
E02327,2.0754 ,0.0000 
E02331,-3.5876 ,0.0000 
E02332,-0.8861 ,0.0047 
E02336,1.3209 ,0.0000 
E02338,-0.6542 ,0.0000 
E02339,1.1406 ,0.0000 
E02341,-0.5084 ,0.0000 
E02342,-0.4815 ,0.0000 
E02343,0.3614 ,0.0000 
E02345,0.5994 ,0.0083 
E02346,0.8366 ,0.6844 
E02347,0.6707 ,0.0000 
E02349,-0.3508 ,0.0000 
E02350,0.9374 ,0.2365 
E02352,-0.1874 ,0.0302 
E02353,-0.4891 ,0.0000 
E02358,-1.0098 ,0.0000 
E02360,-0.4913 ,0.0459 
E02361,-1.2758 ,0.0000 
E02364,0.9664 ,0.0000 
E02365,-1.5075 ,0.0000 
E02368,-0.3975 ,0.0000 
E02369,0.3323 ,0.0000 
E02372,-2.4081 ,0.0000 
E02373,0.1004 ,0.2079 
E02376,0.4572 ,0.0000 
E02378,0.4436 ,0.0000 
E02381,1.4925 ,0.0000 
E02385,0.4750 ,0.9610 
E02387,0.9409 ,0.0000 
E02388,-0.2445 ,0.0001 
E02389,0.6098 ,0.0000 
E02391,-1.4428 ,0.2562 
E02393,-0.0988 ,0.0004 
E02394,-0.1254 ,0.0005 
E02396,-2.5223 ,0.0010 
E02397,2.8694 ,0.0000 
E02403,-1.1109 ,0.0000 
E02407,-0.2304 ,0.0375 
E02408,0.1086 ,0.7537 
E02413,-1.8045 ,0.0000 
E02414,-1.4835 ,0.0000 
E02418,0.7909 ,0.0000 
E02419,-2.5276 ,0.0000 
E02420,-0.2546 ,0.0000 
E02423,0.5784 ,0.0000 
E02425,-0.6224 ,0.0000 
E02428,-2.9556 ,0.0000 
E02429,3.0214 ,0.0000 
E02433,0.3561 ,0.0000 
E02434,0.5866 ,0.0000 
E02436,1.2711 ,0.0000 
E02440,0.4850 ,0.0000 
E02443,0.5340 ,0.0000 
E02449,0.2683 ,0.0000 
E02450,0.3922 ,0.0000 
E02451,-3.3499 ,0.0000 
E02452,-0.3494 ,0.0000 
E02454,0.3987 ,0.0000 
E02456,0.7802 ,0.2252 
E02459,-1.1108 ,0.4752 
E02460,2.9517 ,0.0000 
E02461,-0.0113 ,0.9084 
E02468,0.4335 ,0.0000 
E02469,-0.5298 ,0.0173 
E02470,1.9069 ,0.0000 
E02471,0.4856 ,0.0322 
E02473,-0.7566 ,0.0000 
E02474,0.7573 ,0.0000 
E02478,-0.0505 ,0.7936 
E02480,-0.6701 ,0.0000 
E02487,1.0545 ,0.1823 
E02488,-0.6606 ,0.0000 
E02496,1.0768 ,0.0001 
E02501,-0.1123 ,1.0000 
E02504,-1.5542 ,0.0110 
E02506,1.2163 ,0.0000 
E02509,0.5106 ,0.0000 
E02511,-0.2563 ,0.8012 
E02512,-0.6007 ,0.0000 
E02514,0.1379 ,0.1083 
E02516,-0.1106 ,0.2640 
E02520,-0.1800 ,0.0002 
E02524,2.3056 ,0.0000 
E02525,-0.8662 ,0.0000 
E02529,-0.5349 ,0.0000 
E02536,0.3038 ,0.0001 
E02537,0.9852 ,0.0000 
E02538,0.7135 ,0.0000 
E02539,-1.1503 ,0.3997 
E02540,3.2241 ,0.0000 
E02541,-0.3060 ,0.0000 
E02542,-0.0344 ,0.8081 
E02544,1.1121 ,0.0000 
E02545,-0.5753 ,0.0000 
E02546,-0.9743 ,0.0000 
E02548,-4.5774 ,0.0000 
E02549,-0.5857 ,0.0025 
E02553,-0.6662 ,0.0000 
E02555,-1.0237 ,0.0000 
E02556,1.0884 ,0.0000 
E02563,0.8200 ,0.0000 
E02568,0.3486 ,0.1670 
E02569,-0.3341 ,0.0002 
E02571,0.1070 ,1.0000 
E02572,-0.0504 ,1.0000 
E02574,-0.0831 ,0.3849 
E02575,-0.5701 ,0.0000 
E02578,0.5848 ,0.3295 
E02579,0.5283 ,0.0000 
E02580,-0.0432 ,0.7632 
E02583,-1.1108 ,0.4752 
E02585,-0.0014 ,1.0000 
E02592,1.1399 ,0.0000 
E02593,0.9658 ,0.0185 
E02595,1.4474 ,0.0000 
E02598,0.4152 ,0.8635 
E02599,1.9690 ,0.0001 
E02602,0.8112 ,0.6421 
E02607,-0.1834 ,0.0143 
E02609,0.4077 ,0.0002 
E02610,0.6781 ,0.0000 
E02612,-0.1053 ,0.3448 
E02615,-0.1771 ,0.0022 
E02616,-1.1014 ,0.4768 
E02618,0.8439 ,0.0000 
E02624,-0.5307 ,0.3774 
E02625,0.1556 ,0.0279 
E02626,1.4034 ,0.0001 
E02627,0.1651 ,0.0068 
E02630,0.3085 ,0.0000 
E02632,1.0507 ,0.0000 
E02635,0.0178 ,0.9007 
E02636,-0.6887 ,0.0000 
E02640,0.4781 ,0.9610 
E02642,0.5236 ,0.0000 
E02643,-0.1168 ,0.0492 
E02644,-0.5041 ,0.0000 
E02645,-0.5986 ,0.0000 
E02652,1.3501 ,0.0000 
E02653,1.2355 ,0.0000 
E02657,1.7489 ,0.0000 
E02659,1.6360 ,0.0000 
E02660,1.8496 ,0.0000 
E02662,1.1367 ,0.0000 
E02664,-0.2220 ,0.0126 
E02667,-0.5184 ,0.5386 
E02669,-0.8066 ,0.0000 
E02671,-0.3377 ,0.0000 
E02680,-1.1130 ,0.0000 
E02682,-0.3585 ,0.0000 
E02691,0.7336 ,0.6781 
E02693,-0.0709 ,0.1384 
E02695,-0.3026 ,0.0038 
E02697,-0.4790 ,0.0000 
E02701,-0.7811 ,0.2105 
E02705,-0.5758 ,0.0000 
E02708,0.6291 ,0.0000 
E02710,0.3025 ,0.0395 
E02711,1.0430 ,0.0000 
E02713,-0.1527 ,0.2227 
E02714,0.2364 ,0.0076 
E02721,0.7509 ,0.0000 
E02722,-0.3562 ,0.0000 
E02723,1.8328 ,0.0092 
E02724,-0.0944 ,0.0740 
E02728,0.0827 ,0.8485 
E02730,1.2231 ,0.0726 
E02735,-0.4169 ,0.0000 
E02736,0.5067 ,0.0004 
E02746,-0.5646 ,0.0000 
E02748,0.5618 ,0.0000 
E02749,0.1540 ,0.0000 
E02751,0.0216 ,0.9518 
E02753,-0.3297 ,0.0011 
E02754,0.5285 ,0.0000 
E02755,0.4693 ,0.0000 
E02757,0.7423 ,0.0000 
E02759,0.8793 ,0.0000 
E02763,0.3973 ,0.0000 
E02764,0.1841 ,0.0439 
E02767,0.3934 ,0.0000 
E02768,-1.9885 ,0.0002 
E02771,-3.7909 ,0.0000 
E02773,4.8892 ,0.0000 
E02775,0.5130 ,0.0000 
E02776,5.5619 ,0.0000 
E02778,0.6091 ,0.0000 
E02781,-0.2754 ,0.0005 
E02784,0.4517 ,0.0287 
E02789,2.7354 ,0.0010 
E02790,0.0331 ,0.8780 
E02791,0.2343 ,0.6276 
E02792,-3.3899 ,0.0000 
E02793,2.5042 ,0.0000 
E02794,1.1028 ,0.4078 
E02795,-0.4365 ,0.0001 
E02797,0.2235 ,0.5009 
E02800,-1.0406 ,0.0000 
E02802,1.0216 ,0.0000 
E02807,0.1201 ,0.0011 
E02810,0.2915 ,0.0072 
E02811,-1.3842 ,0.0000 
E02812,1.3145 ,0.2560 
E02813,0.2487 ,0.0244 
E02818,-0.2071 ,0.0000 
E02820,1.2281 ,0.0000 
E02821,-0.4343 ,0.0000 
E02823,-0.0540 ,0.3174 
E02826,0.1790 ,0.1200 
E02827,0.4618 ,0.0000 
E02828,-0.9122 ,0.0000 
E02831,0.4351 ,0.8426 
E02832,1.6524 ,0.0000 
E02833,0.2300 ,0.0001 
E02835,0.8869 ,0.0000 
E02838,0.2182 ,0.0023 
E02839,-1.0090 ,0.0000 
E02840,-0.0079 ,0.6956 
E02841,-0.0594 ,0.2908 
E02843,1.3535 ,0.0000 
E02844,0.8181 ,0.0000 
E02848,-0.3001 ,0.0000 
E02851,0.0580 ,0.3744 
E02852,-0.5830 ,0.0000 
E02855,0.0962 ,0.1288 
E02860,0.4814 ,0.0000 
E02862,-1.1889 ,0.0000 
E02863,0.9442 ,0.0000 
E02864,-0.2999 ,0.0000 
E02866,-2.0423 ,0.0000 
E02871,0.3303 ,0.0000 
E02873,2.1606 ,0.0206 
E02874,0.0530 ,0.7941 
E02875,0.3391 ,0.0000 
E02876,-1.1087 ,0.0000 
E02879,-0.7178 ,0.0000 
E02881,-2.0154 ,0.0000 
E02882,-0.5652 ,0.0000 
E02883,-1.4092 ,0.0000 
E02884,0.0368 ,0.7715 
E02886,1.6011 ,0.0000 
E02889,-0.3712 ,1.0000 
E02890,1.6159 ,0.0000 
E02894,0.3168 ,0.0000 
E02895,-0.6814 ,0.0000 
E02896,-1.2017 ,0.0000 
E02898,0.7317 ,0.0000 
E02899,-0.2902 ,0.0005 
E02903,-0.0451 ,0.3924 
E02904,-0.6632 ,0.8475 
E02905,-0.6951 ,0.2356 
E02908,-0.8594 ,0.0000 
E02911,0.8112 ,0.6421 
E02912,-0.3666 ,0.0000 
E02914,-0.7889 ,0.0000 
E02915,-0.1589 ,0.1209 
E02916,1.1905 ,0.3368 
E02917,-0.6182 ,0.7788 
E02919,0.7982 ,0.0000 
E02922,0.6781 ,0.0196 
E02925,0.0042 ,1.0000 
E02926,-0.6511 ,0.0000 
E02928,0.6675 ,0.0000 
E02930,-3.0830 ,0.0000 
E02932,0.2262 ,0.0178 
E02934,0.8600 ,0.0000 
E02935,0.2509 ,0.0000 
E02937,-2.3494 ,0.0770 
E02940,0.1218 ,0.0002 
E02941,-1.1174 ,0.0000 
E02943,0.2439 ,0.0102 
E02944,0.8897 ,0.0000 
E02946,1.2015 ,0.0000 
E02947,-3.7392 ,0.0000 
E02948,-1.2877 ,0.0000 
E02949,-0.9552 ,0.0000 
E02950,0.8095 ,0.0000 
E02953,-2.1599 ,0.0000 
E02956,-0.5208 ,0.0000 
E02959,-0.9670 ,0.0000 
E02963,-1.3270 ,0.0000 
E02964,5.7372 ,0.0000 
E02968,0.2537 ,0.8202 
E02969,-0.2009 ,0.0096 
E02970,-2.4861 ,0.0000 
E02972,-0.1816 ,1.0000 
E02975,-1.2970 ,0.3493 
E02976,1.8636 ,0.0003 
E02977,-0.0272 ,0.8538 
E02978,0.2638 ,0.9236 
E02979,-0.9912 ,0.0794 
E02980,-0.5724 ,0.0000 
E02983,0.1022 ,0.0878 
E02984,-1.8570 ,0.1053 
E02986,0.7416 ,0.6784 
E02989,0.1168 ,0.0378 
E02991,1.3240 ,0.0000 
E02997,-0.3823 ,0.0000 
E02999,0.5481 ,0.0000 
E03003,0.3466 ,0.0002 
E03005,2.6653 ,0.0000 
E03011,1.0765 ,0.0000 
E03013,0.3352 ,0.0765 
E03014,-0.5117 ,0.0000 
E03018,0.8899 ,0.0001 
E03019,-0.1243 ,0.0398 
E03020,-1.3255 ,0.2097 
E03026,-0.3401 ,0.0000 
E03028,2.8946 ,0.0000 
E03029,-0.0716 ,0.0031 
E03030,-0.1684 ,1.0000 
E03031,-1.4163 ,0.0000 
E03033,0.1079 ,0.2458 
E03038,-1.9105 ,0.0000 
E03041,0.0557 ,0.5396 
E03048,0.8906 ,0.0000 
E03049,0.4904 ,0.0000 
E03050,-0.3425 ,0.0000 
E03052,-0.8309 ,0.0000 
E03059,-0.5462 ,0.4168 
E03063,-0.7571 ,0.0000 
E03064,0.6824 ,0.0006 
E03065,0.0798 ,0.0360 
E03066,-0.6858 ,0.5232 
E03068,1.0489 ,0.0000 
E03069,0.3680 ,0.0000 
E03070,-1.2062 ,0.0000 
E03071,1.1865 ,0.0000 
E03073,1.8842 ,0.0000 
E03075,-0.6731 ,0.0000 
E03076,0.2248 ,0.0087 
E03078,0.8809 ,0.0000 
E03081,0.5411 ,0.0004 
E03084,0.2635 ,0.0000 
E03086,0.9189 ,0.0000 
E03088,-1.0071 ,0.0000 
E03094,1.9998 ,0.0351 
E03095,0.8318 ,0.6844 
E03098,-0.7360 ,0.0000 
E03099,0.0604 ,0.3163 
E03100,-0.1697 ,0.3460 
E03104,0.4995 ,0.0000 
E03105,0.3499 ,0.5171 
E03108,0.2009 ,0.1952 
E03109,0.6980 ,0.0000 
E03114,-0.2291 ,0.0426 
E03116,-1.1062 ,0.0000 
E03117,-0.0294 ,0.6237 
E03120,-1.9157 ,0.0000 
E03121,0.4491 ,0.0000 
E03122,0.3101 ,0.0037 
E03123,-0.2802 ,0.0000 
E03125,-0.0839 ,0.2691 
E03127,-0.3646 ,0.0012 
E03129,-0.2390 ,0.0003 
E03131,-0.1486 ,0.0009 
E03132,0.2318 ,1.0000 
E03134,-0.0610 ,0.4257 
E03135,0.1043 ,0.9877 
E03136,1.4932 ,0.0058 
E03139,0.8887 ,0.0000 
E03143,2.0885 ,0.0000 
E03144,0.1845 ,0.8571 
E03147,-1.2747 ,0.0000 
E03148,1.7344 ,0.0000 
E03149,-0.0209 ,0.7936 
E03150,-0.2836 ,0.0000 
E03151,-0.1552 ,0.0063 
E03158,0.8720 ,0.1463 
E03163,-0.1108 ,0.0027 
E03170,1.0201 ,0.0000 
E03171,0.1039 ,1.0000 
E03172,0.6066 ,0.0000 
E03174,-0.3465 ,0.0000 
E03177,-0.1293 ,0.0800 
E03178,-0.8104 ,0.0000 
E03183,-0.7839 ,0.1067 
E03185,-0.2310 ,0.0003 
E03186,-0.4044 ,0.0000 
E03187,0.0061 ,1.0000 
E03189,-0.2475 ,0.1284 
E03191,0.3833 ,0.0000 
E03195,0.6763 ,0.0000 
E03198,2.6549 ,0.0000 
E03201,-0.6432 ,0.0002 
E03203,0.4477 ,0.0000 
E03205,6.8247 ,0.0000 
E03206,0.0119 ,0.7338 
E03207,-0.1309 ,0.2850 
E03208,1.1128 ,0.0000 
E03209,-2.7514 ,0.0000 
E03211,0.7992 ,0.0000 
E03213,-0.1984 ,0.0279 
E03215,0.1916 ,0.1051 
E03217,-0.3963 ,0.0000 
E03218,1.5932 ,0.0000 
E03219,-2.9242 ,0.0000 
E03220,1.3819 ,0.0000 
E03221,0.3695 ,0.5427 
E03223,-0.4488 ,0.0000 
E03224,-0.7198 ,0.0000 
E03226,0.4173 ,0.0000 
E03228,0.3120 ,0.0000 
E03229,0.4744 ,0.0000 
E03232,-0.6885 ,0.0000 
E03233,-0.9242 ,0.0353 
E03234,-0.4075 ,0.0000 
E03235,0.1610 ,0.0041 
E03237,0.2449 ,0.0091 
E03239,0.0099 ,0.9491 
E03241,7.9091 ,0.0000 
E03242,0.1366 ,0.2477 
E03243,-0.7809 ,0.0000 
E03244,-0.6465 ,0.8485 
E03245,0.4750 ,0.9610 
E03247,-0.2374 ,0.0012 
E03248,-0.1498 ,0.0279 
E03251,3.3715 ,0.0000 
E03253,0.3003 ,0.0000 
E03254,0.0984 ,0.9451 
E03256,-0.5232 ,0.0000 
E03258,-0.7420 ,0.0000 
E03259,-0.0890 ,0.8636 
E03261,-0.5120 ,0.0000 
E03262,0.1162 ,0.0581 
E03263,0.8137 ,0.6421 
E03264,0.1148 ,0.2352 
E03266,0.2331 ,0.8745 
E03267,-0.3724 ,0.0000 
E03268,-0.5663 ,0.0000 
E03269,0.2222 ,0.0021 
E03273,2.9808 ,0.0000 
E03275,1.1048 ,0.4078 
E03276,-1.2581 ,0.0000 
E03278,-0.4436 ,0.0000 
E03279,-1.6308 ,0.0009 
E03280,-1.2082 ,0.0000 
E03281,-0.6414 ,0.0000 
E03283,1.0860 ,0.0000 
E03284,0.4486 ,0.9610 
E03285,-0.7984 ,0.0526 
E03287,-0.4119 ,0.7188 
E03288,3.4539 ,0.0000 
E03289,-0.1028 ,0.0083 
E03291,-2.0344 ,0.0000 
E03294,-0.9001 ,0.6415 
E03296,0.4763 ,0.0000 
E03300,-1.7061 ,0.0000 
E03302,-0.4617 ,0.0000 
E03305,0.6987 ,0.6844 
E03307,0.1197 ,0.1426 
E03310,-1.4790 ,0.0000 
E03313,7.3666 ,0.0000 
E03326,-0.3667 ,0.0000 
E03328,0.2242 ,0.0014 
E03329,0.9136 ,0.0000 
E03330,0.4232 ,0.0000 
E03332,-0.7123 ,0.0001 
E03334,-2.2204 ,0.0000 
E03336,1.0519 ,0.1532 
E03338,-0.4253 ,0.0000 
E03343,-0.0502 ,0.0020 
E03346,0.5001 ,0.0057 
E03348,-0.8236 ,0.0000 
E03350,-0.6120 ,0.0000 
E03354,-0.0947 ,1.0000 
E03357,-4.2677 ,0.0000 
E03359,0.0555 ,0.0922 
E03365,2.3251 ,0.0000 
E03367,-2.0049 ,0.0000 
E03370,0.1748 ,0.8745 
E03374,3.6105 ,0.0000 
E03384,-2.1080 ,0.0000 
E03385,0.3462 ,0.0000 
E03386,3.8477 ,0.0000 
E03388,0.6624 ,0.0000 
E03392,-0.0762 ,0.0944 
E03395,1.9126 ,0.0041 
E03397,-0.0113 ,0.9470 
E03398,0.6073 ,0.0000 
E03399,0.3422 ,0.0000 
E03400,-2.0096 ,0.0037 
E03401,2.2151 ,0.0000 
E03402,0.4622 ,0.0000 
E03403,-0.4849 ,0.0000 
E03407,-1.1648 ,0.0000 
E03409,-0.6632 ,0.8475 
E03424,-0.6966 ,0.0000 
E03428,1.2322 ,0.0000 
E03434,-0.7002 ,0.0000 
E03435,1.3631 ,0.2755 
E03439,-1.5787 ,0.0138 
E03442,-0.2755 ,0.0000 
E03443,0.5906 ,0.4026 
E03452,-0.1684 ,1.0000 
E03453,1.9864 ,0.0000 
E03455,1.1147 ,0.0000 
E03461,0.4132 ,0.0000 
E03463,-1.7992 ,0.0000 
E03464,0.4326 ,0.0000 
E03468,0.8756 ,0.5166 
E03469,3.6746 ,0.0000 
E03470,-0.0767 ,0.4031 
E03472,-0.3804 ,0.0003 
E03476,0.6255 ,0.6833 
E03479,-0.2507 ,0.3407 
E03480,2.4402 ,0.0000 
E03486,-0.9037 ,0.4027 
E03491,-0.9363 ,0.0000 
E03494,0.5131 ,0.0000 
E03495,-0.3553 ,0.0000 
E03496,1.2552 ,0.0000 
E03497,-0.2370 ,0.0438 
E03498,1.0614 ,0.3886 
E03504,0.3835 ,0.0000 
E03506,-0.4285 ,0.0000 
E03508,0.2211 ,0.0244 
