gene,log2FC,padj
E00505,-0.7491 ,0.0000 
E00506,-1.2538 ,0.0000 
E00507,-0.6632 ,0.8475 
E00511,0.3759 ,0.0000 
E00512,-1.1316 ,0.0000 
E00513,-0.4314 ,0.0000 
E00515,-1.3094 ,0.0000 
E00516,-1.4467 ,0.2557 
E00517,-0.3849 ,0.0004 
E00519,-0.5425 ,0.0000 
E00520,-0.5448 ,0.0000 
E00521,-0.5578 ,0.0000 
E00522,5.3499 ,0.0000 
E00523,0.6757 ,0.0000 
E00524,0.1456 ,0.0080 
E00525,1.1831 ,0.0000 
E00527,0.0873 ,0.0070 
E00528,0.2541 ,0.0608 
E00529,-0.4623 ,0.0052 
E00531,0.1846 ,0.5858 
E00532,-0.2231 ,0.0000 
E00536,1.9485 ,0.0000 
E00540,0.6191 ,0.0000 
E00541,0.5713 ,0.0000 
E00542,-0.2792 ,0.8944 
E00543,-5.0761 ,0.0000 
E00546,-0.8388 ,0.0000 
E00547,1.9689 ,0.0000 
E00549,0.4235 ,0.0000 
E00551,1.6323 ,0.0000 
E00552,-1.6009 ,0.1839 
E00556,1.8960 ,0.0425 
E00557,0.1571 ,0.0000 
E00559,0.4228 ,0.8427 
E00560,1.7276 ,0.0000 
E00561,-0.5318 ,0.0027 
E00563,-0.9216 ,0.0000 
E00564,-0.6572 ,0.7799 
E00565,-0.7900 ,0.0000 
E00566,-1.0577 ,0.0025 
E00567,-1.6729 ,0.0000 
E00568,-0.9307 ,0.0000 
E00569,0.3253 ,0.0000 
E00571,-0.6314 ,0.0000 
E00572,-1.9190 ,0.0000 
E00576,-0.1303 ,0.2305 
E00579,-0.2523 ,0.0000 
E00581,0.1920 ,0.0193 
E00582,-2.5910 ,0.0000 
E00583,-0.3460 ,0.0000 
E00585,-0.7788 ,0.0000 
E00586,0.4439 ,0.0000 
E00587,0.2710 ,0.0004 
E00588,1.6301 ,0.0000 
E00589,0.3988 ,0.7447 
E00590,-1.7341 ,0.1327 
E00593,0.3943 ,0.0000 
E00595,-1.1628 ,0.0000 
E00596,0.2128 ,0.0000 
E00597,1.3452 ,0.2531 
E00598,-0.1907 ,0.2254 
E00599,-1.3568 ,0.0000 
E00604,0.5185 ,0.0000 
E00605,-2.4178 ,0.0000 
E00606,-1.3032 ,0.0000 
E00609,-0.3060 ,0.0005 
E00610,-0.1182 ,0.0687 
E00611,2.3827 ,0.0000 
E00613,0.1908 ,0.0088 
E00614,-0.1809 ,0.2930 
E00618,0.0531 ,0.7838 
E00622,0.2100 ,0.1353 
E00632,0.4113 ,0.0000 
E00633,1.1488 ,0.0000 
E00634,-0.8314 ,0.0682 
E00636,-0.1971 ,0.4777 
E00638,-0.4590 ,0.0000 
E00640,-1.3036 ,0.0000 
E00641,0.6773 ,0.0000 
E00645,-0.6686 ,0.0000 
E00648,-0.1311 ,0.0002 
E00655,0.0628 ,0.4392 
E00657,-0.8726 ,0.0000 
E00658,-2.0366 ,0.0000 
E00661,0.3095 ,0.0035 
E00662,-0.5541 ,0.0005 
E00663,0.0386 ,0.7014 
E00664,-0.6983 ,0.0000 
E00665,-0.1582 ,0.0053 
E00692,-0.1944 ,0.1823 
E00693,0.4548 ,0.0000 
E00695,-1.0553 ,0.0000 
E00697,0.6651 ,0.0000 
E00699,0.4641 ,0.0001 
E00700,-0.4612 ,0.0053 
E00701,-0.2520 ,0.0005 
E00702,0.2022 ,0.0018 
E00704,0.5018 ,0.0293 
E00708,3.0989 ,0.0000 
E00715,2.7537 ,0.0010 
E00716,-0.0748 ,1.0000 
E00718,-0.6733 ,0.0000 
E00720,0.0555 ,0.8267 
E00723,-0.9239 ,0.0000 
E00728,0.6103 ,0.0000 
E00729,0.1396 ,0.4449 
E00759,1.1048 ,0.4078 
E00763,0.0199 ,0.9290 
E00768,1.7080 ,0.0952 
E00774,0.6519 ,0.0000 
E00775,0.0171 ,1.0000 
E00777,-0.0420 ,0.9290 
E00778,0.7354 ,0.0000 
E00779,-0.5772 ,0.0000 
E00780,0.5273 ,0.0000 
E00781,0.3265 ,0.8087 
E00782,-0.7281 ,0.5631 
E00785,-0.3497 ,0.0000 
E00786,0.1046 ,0.3189 
E00787,-1.3703 ,0.0402 
E00795,1.1581 ,0.0000 
E00796,-0.8449 ,0.0000 
E00798,-0.2074 ,0.0000 
E00799,0.3925 ,0.0000 
E00800,-0.5229 ,0.0000 
E00801,-0.7745 ,0.0000 
E00802,-0.6061 ,0.0034 
E00804,-1.7609 ,0.0000 
E00805,-1.4014 ,0.0000 
E00808,0.0059 ,0.9608 
E00809,1.4355 ,0.0000 
E00811,1.2886 ,0.0000 
E00812,-0.4746 ,0.0000 
E00814,1.4718 ,0.0000 
E00815,-0.8096 ,0.0000 
E00816,0.5825 ,0.0000 
E00818,0.2675 ,0.1278 
E00823,0.0212 ,0.8406 
E00824,0.3845 ,0.0000 
E00825,0.4448 ,0.8636 
E00826,1.3591 ,0.0000 
E00827,0.1296 ,0.0067 
E00831,0.2926 ,0.0024 
E00833,-0.3541 ,0.0000 
E00838,0.4781 ,0.9610 
E00839,0.2603 ,0.0792 
E00840,3.4945 ,0.0000 
E00841,-0.4515 ,0.0000 
E00842,0.7145 ,0.0000 
E00843,-0.2065 ,0.7228 
E00847,-0.3792 ,0.0000 
E00848,1.2924 ,0.0000 
E00850,-0.5132 ,0.3352 
E00851,0.0058 ,0.9229 
E00852,-0.4522 ,0.0000 
E00853,0.8874 ,0.0000 
E00854,0.4128 ,0.6763 
E00855,0.2323 ,0.6030 
E00857,0.5214 ,0.0133 
E00858,1.3053 ,0.0000 
E00860,-1.4455 ,0.0171 
E00861,-0.5189 ,0.0365 
E00866,0.8348 ,0.0000 
E00867,-1.0545 ,0.0000 
E00869,0.5215 ,0.0000 
E00873,0.0652 ,1.0000 
E00875,1.0711 ,0.0000 
E00878,-1.1341 ,0.5571 
E00879,0.7921 ,0.0000 
E00881,0.1983 ,0.0013 
E00885,1.6864 ,0.0000 
E00886,0.7126 ,0.0002 
